发布时间,视频链接,标题,时长,作者名称,播放量,评论数,弹幕数,点赞,收藏,标签,1,2
2021-07-03 23:30:48,http://www.bilibili.com/video/av673922538,史上最全节奏教学，让你打野不再迷茫,5:10,老公爵啊,861134,1502,1184,29758,22495,"王者荣耀,教学,英雄教学,打野,干货",0,0
2021-10-08 09:00:08,http://www.bilibili.com/video/av890951604,燃！【x86版西游记】皮肤CG预告：取经小队大战峡谷主宰！,0:42,王者荣耀,3890705,4891,1166,60619,5566,"王者荣耀,王者荣耀×86版西游记,王者荣耀86版西游记皮肤,孙悟空西游记新皮肤,孙悟空孙行者皮肤,CG",0,0
2022-07-12 18:01:48,http://www.bilibili.com/video/av813354436,“盘点五大想退游瞬间”,3:28,精选笑哈哈,543,7,0,11,2,"搞笑,王者荣耀,退游,看一遍笑一遍,毫无游戏体验,破防了",0,0
