标题,时长,作者名称,播放量,弹幕信息,评论数
英灵之躯 击落神明！不要眨眼 你永远不知道系列到底有多少英灵！FGO五周年纪念,4:11,战场ヶ原-,3130028,4267,3109
【萌新向】动画观看指南：十分钟搞懂~,10:58,南宮安夢,241985,589,1289
史上最震撼的一场打戏！黑化—视觉盛宴！,3:49,战场ヶ原-,2216809,3474,1720
【诚实吐槽】B站评分最低的，月球遗孤/Aposdasagfdhskj,14:44,瓶子君152,1903820,10569,9788
【/吉尔伽美什/金闪闪】黄金之王【建议佩戴耳机030 】,3:30,Rokuya_啵啵啵菠萝哒,964464,5434,2023
凡人之躯 比肩英灵！五分钟带你感受士郎的封神之战！【系列HF线/终章完结纪念】,5:11,夕晖の謊言,991539,883,1443
这一刻！英灵集结！这就是的魅力！,3:16,白轻云,356500,701,879
【原神】用的方式打开原神！再来亿次！！！,4:22,一只憨憨的阿九,1246882,1781,1203
【4K120帧收藏级】自渲染 HF线最燃 黑呆vsR姐 对战,13:30,琉特Newt,233540,565,387
[/ 群像]身为剑成，血如钢铁.Unlimited Blade Work！,5:2,Chouhen君,4047062,16846,4039
【互动测试】你在中的专属职阶是什么？,4:12,不知耻の紫烟老师,1447239,9611,13836
【FGO嘉年华·1080P】/Grand Carnival OP动画公开,4:2,莉莎娜,1301387,1228,1854
史上最烧经费打戏！英灵集结！夺回我们的未来！「/Grand Order」,2:34,蓝皮君丶,1005079,1420,1011
【浅谈】系列 观看顺序,5:45,LeeAJie,704274,1979,1693
【𝟒𝐊 𝟏𝟐𝟎𝐅𝐏𝐒】/stay night Heaven&#39;s feel第二章『黑呆b叔巅峰战斗』,2:36,新漫猫,831098,1239,1330
【/曾有你的森林】谨以此片，献给所有王厨,5:23,南宮安夢,83782,400,749
【剧情向】阿尔托莉雅的救赎：Saber-梦的尽头「LAST STARDUST」,3:39,泛式,943346,4970,2741
[FGO抽卡]我可太喜欢贞德灵衣了！试水waltz池子【コスプレ/cosplay】/Grand Order,8:39,Latteらて_拿铁,338,0,22
2019.9更新【咏唱/】你们要的无限剑制（UBW）完整咏唱（红A),5:13,Joshist,2185166,3454,1336
【Animenz】Last Stardust - /stay night [Unlimited Blade Works] OST 钢琴版,6:34,Animenzzz,643093,2331,1706
【/Grand Order】此为诀别神明,5:14,花宫二橙,1014852,1440,1448
【/远坂凛】搞不懂你们为什么要抢我老婆,2:19,原肥肥,382914,706,683
【全程高燃】战火起 英灵聚 拔剑为谁战！,4:4,机智的废柴君,6489145,40529,7687
神话之战！史上天花板级别的打斗！你根本不知道FGO可以有多帅！,4:6,不太正经の有希酱,199056,215,421
【全网独家首发】天之杯III春之歌精华篇,68:39,二次元王者revolution,253833,2568,2230
【鬼灭之刃 x 】全站最还原！同步率100%【版鬼灭之刃OP】——紅蓮華·LiSA,3:22,Berta佑,508776,1665,585
【Animenz】to the beginning - /Zero S2 OP 钢琴版,4:31,Animenzzz,371815,771,1008
【/HF】间桐樱：“前辈，我……脏吗？”,5:3,秃头の舰长,34013,142,381
【】献给红A，献给凛，献给弓凛一生推的你,5:12,南宮安夢,64297,203,418
【全程高燃】神殿之下，方舟之上，皆为战场！,3:24,Fawr,54336,103,178
【/高燃混剪】宝具 开放 十三拘束解放 圆桌决议开始！,3:15,果冻lv4,866691,558,523
【AMV/FZ】切嗣的救赎【/ZERO - AKROSSCON2014】,3:51,TsukiBito牛牛,2923943,5110,7852
《/ Stay Night Heaven&#39;s Feel III》卫宫士郎 vs Berserker（射杀百头投影战）,3:56,杀意大鸽,588683,639,1958
宝具全开！史上天花板级别的打戏！！HF完结纪念！！,2:10,Ishi丶,964423,1300,956
巅峰之战！史上巅峰高燃级别打斗！！！,3:52,某科学的未来预测,446863,332,559
【7月/剧场版/4K画质】/Grand Order -终局特异点 冠位时间神殿所罗门- 正式PV【MCE汉化组/中字首发】,3:44,夏日幻听MCE,1078762,1422,3112
【最全合集】《/stay night》中文三线全流程+46结局全达成+全英灵、武器官方设定集 BY 闷骚鸵鸟,6015:45,闷骚鸵鸟,265798,11320,846
【JOJO×/Zero】卫宫家的奇妙冒险,18:55,幻氵炙,888598,2177,2197
【/高燃】此生愿追随王至世界尽头,3:49,节能的老君,496671,3482,1258
「/stay night」15周年纪念企划宣传影像,4:16,哔哩哔哩游戏中心,246599,1395,1548
前方极致盛宴！！！全英灵一秒燃爆！ GRAND ORDER四周年纪念,3:19,战场ヶ原-,1741577,2288,938
【】间桐樱生贺,32:42,卫宫桜酱,2568,20,185
前方极致盛宴！！！全英灵一秒燃爆！ GRAND ORDER四周年纪念,3:19,战场ヶ原-,1741577,2288,938
【】间桐樱生贺,32:42,卫宫桜酱,2568,20,185
【凛酱生日作】版狐狸精 （毫无鬼畜）,5:16,不的发呆仔zero,1047686,18028,1336
【/系列混剪/疯狂踩点/高燃】全程高能！！！,3:19,黑星灬乄式,321804,703,516
【动画全系列燃向混剪】群星升起之时--这就是，你和我们的，夺回未来的故事吧,4:25,卡尔的小火人,343144,1246,525
巅峰盛宴！全员开大！此为诀别神明！,2:41,永远的我的鸟笼Me,384369,473,384
【系列/AMV/伪预告】「上篇：命运」,3:33,暗猫の祝福,654630,3816,1037
【该细还得细】/EXTRA世界线的前世今生(后),28:39,削人棍专用BGM,388562,1074,3277
【FGO】为什么我的新番跟你们的不太一样,4:0,那年的黄昏,252731,1359,291
「/stay night UBW」#20 插曲 Aimer「Last Stardust」(更新B站字幕版),8:40,Rin_kana373,1053807,7090,1606
最燃的10场战斗 [60FPS],20:22,王者之尊严,2346442,14657,4353
【FGO中文】动画「从漫画了解！/Grand Order」,14:40,小强凌凌柒,3432991,42304,4485
【】如果把UBW的剧情倒过来看，那么会发生什么,7:39,whitebuster,313715,5595,829
当你看时朋友走过来......,1:46,伊吕波Hazy,489302,276,375
为什么不应逃避生命中的痛苦——【人文学科视角下的”/ZERO ①】,41:36,美人logist,159246,5160,1333
一集封神！史上最烧经费的打戏！夺回人类史的明天！,4:36,一色彩羽廚,1153014,1941,976
【/金闪闪/吉尔伽美什/幼闪/旧闪】闪闪拿弓了！！！（各时期闪闪剪辑）,3:4,啊凉夕夕夕,311960,654,525
【/吉尔伽美什/金闪闪/燃爆全场】谁允许你从本王面前退下了？！,3:0,Prefazione言序,581211,3047,1444
【/金闪闪/吉尔伽美什/AMV】 I Like To Dance,2:59,慕羡鱼,3007768,64677,16734
【大片】剧场版《: 崛起》终极预告,2:8,庚夕子Yuuko,719334,1116,467
宝具释放场面合集,3:16,司咔撒酱,43618,36,43
【自制字幕】 GuDaGuDa Order drama CD,44:43,小强凌凌柒,1035866,18877,1425
【/孤勇者】谁说成为“英灵”的才算英雄！,4:16,克劳德-史卡雷特,37536,261,126
【/追光者/催泪向】因为你是光呀,3:24,Prefazione言序,340277,2492,846
【官方剪辑】The Essentials of “ Series” - 人類史最大の英雄譚 - | /Grand Order 配信3周年記念映像,4:53,小强凌凌柒,588821,4496,2772
【/Duel Links】亚瑟王不可能是个女孩！！,10:56,卷饼猫,443038,905,613
2021年，还有人记得吗？,3:34,动漫唯美风,160831,707,701
【/Grand Order】第五特异点——北美神话大战,0:15,哔哩哔哩游戏中心,442568,837,1685
【Animenz】红A帅醒歌 - /stay night UBW OP2  钢琴版,6:27,Animenzzz,1763698,17152,3280
【/吉尔伽美什】闪闪的哈哈进化史,1:33,狐琴琴琴,493951,1256,739
巅峰盛宴：当我宝具解放的那一刻，全世界将无人能与我为敌！,3:17,咲珑总是如此勤勉,1809494,2212,1275
【凉风】不正经解说/Zero：千万不要惹二次元的单身狗,6:44,凉风Kaze,515845,1213,391
最宏大的一部，全英灵燃爆全场【FGO三周年纪念】,2:1,战场ヶ原-,1431370,3749,1440
【手书】与名为命运的怪物战斗的英雄们,9:50,Siya_Ho,1211661,6625,3801
【动画】玩FGO的Saber桑 01,4:14,洛飕飕,1244540,6283,3763
