,TITLES,时长,播放量,弹幕数,发布日期
27,CityU School Tour ｜ 三月生活碎片/ 香港城市大学研究生/ 又一城/ 逛吃/ 焦糖奶茶/ 3CE美妆,09:26,899,0,2020-03-26
28,在香港城市大学的一天，有些地方去一次少一次,02:07,1103,1,2020-06-11
29,（下）三本院校逆袭香港城市大学 | 留学中介到底该怎么选才能避坑？ | DIY资料大放送！,12:20,4687,8,2020-05-21
30,【香港城市大学】传播学研究方法-传播实证研究方法的若干前沿,02:26:51,683,1,2018-06-28
31,叶嘉莹：中国文化十讲（香港城市大学）,18:19:23,8.7万,371,2017-05-08
32,【Alice's Vlog】Random Days in CityU｜陪我一起上学吧｜香港城市大学｜学校生活｜香港留学,04:56,273,1,2020-07-30
33,2020香港留学生活 VLOG1 香港城市大学 CityU Master,25:17,530,0,2020-09-19
34,【香港城市大学】传播学研究方法-传播研究的想象,02:17:39,2809,4,2018-06-28
35,【香港城市大学】食在城大 Eating in CityU,03:00,886,2,2019-02-25
36,香港城市大学媒体与传播系宣传片-为远道而来的你,04:03,618,0,2019-11-04
37,疫情后的学校 香港城市大学,04:21,1028,2,2020-05-25
38,【香港城市大学】传播学研究方法-如何在SSCI发表论文,01:47:24,1378,1,2018-06-28
39,WILEY科研 | SSTR卓越校长论坛 · 第一场 - 香港城市大学吕坚校长,01:37:46,671,1,2020-07-13
40,WILEY科研 | SSTR卓越校长论坛 · 第一场 - 香港城市大学吕坚校长,01:37:46,671,1,2020-07-13
41,香港城市大学媒体与传播系宣传片-为远道而来的你,04:03,618,0,2019-11-04
42,比较文学与世界文学系列讲座   香港城市大学张隆溪教授,01:23:43,1786,1,2020-02-23
43,【香港城市大学】传播学研究方法-论文的问题意识与证据,02:10:26,1566,1,2018-06-27
44,Iris的香港生活 18 香港城市大学cityu 郎世宁展,21:40,631,0,2017-11-23
45,CityU 香港城市大学 ｜JD Year 2 Semester A,02:21:19,123,0,2020-10-01
46,香港城市大学 传播学研究方法-论文的问题意识与证据 全6讲 主讲-李金铨 视频教程,01:48:59,1290,7,2017-07-02
47,香港城市大学讲座 梁谷音,03:22:46,713,5,2018-01-13
48,20201021-香港城市大学何颂贤-High-Performance Electronic and Optoelectronic Devices...,53:22,1170,0,2020-10-23
49,2020届毕业生实惨，不如来cityu读研究生吧！！香港城市大学研究生会CUPA宣传片,04:07,621,0,2019-12-10
50,vlogmas02|香港留学生活分享|香港城市大学吃饭睡觉看展览的课都在读什么？,05:52,631,1,2019-12-18
51,我的第一支vlog，香港城市大学学生的赶due日常,03:39,136,0,2020-10-18
52,香港城市大学 传播学研究方法-如何在SSCI发表论文 全5讲 主讲-祝建华 视频教程,01:47:23,3935,2,2017-07-01
53,CityU 香港城市大学 | JD Summer Term 居委会大妈速成班 (Mediation Practice) (下),33:29,232,1,2020-07-28
54,香港上学生活Q&A Part3 一年制master可以实习吗｜香港城市大学就读体验｜丁丁在香港,05:01,495,0,2020-06-27
55,香港城市大学研究生英语面试（纯英文）考研复试必看,05:06,1423,0,2020-03-27
56,香港城市大学 传播学研究方法-传播研究的想象 全6讲 主讲-李金铨 视频教程,02:17:36,2154,6,2017-07-02
57,【香港城市大学】研究生上学日常～,00:53,1742,0,2018-11-25
58,姚公白香港城市大学讲座：古琴的声韵之美,01:47:19,3644,44,2018-03-23
59,香港城市大學-守門員訓練-19/10/2020-Barson Tin-Sells_HK,04:30,1594,0,2020-10-20
60,小蜜专访02｜在读学姐带你了解香港城市大学MFA创意媒体硕士,05:55,315,0,2019-11-11
61,别 人 家 的 大 学 —— 探访香港城市大学,02:54,65,0,2020-10-29
62,探訪香港城市大學上,00:51,54,0,2020-08-01
63,【香港城市大学採用 cum laude 学位荣誉制度有什么玄机？】,01:55,303,0,2020-09-30
64,vlogmas02|香港留学生活分享|香港城市大学吃饭睡觉看展览的课都在读什么？,05:52,631,1,2019-12-18
65,水向上流不是夢！香港城市大学解究液滴高速丶长距离自驱动传输新策略,01:24,254,2,2020-07-03
66,香港城市大学的机械工程专业（ME），你了,00:16,5,0,2020-11-16
67,20201021-香港城市大学何颂贤-High-Performance Electronic and Optoelectronic Devices...,53:22,1170,0,2020-10-23
68,【走进城大】2019/2020香港城市大学学期A_来自阿达的记录片,04:09,371,0,2019-12-21
69,姚公白香港城市大学讲座：古琴的声韵之美,01:47:19,3644,44,2018-03-23
70,香港城市大學-守門員訓練-19/10/2020-Barson Tin-Sells_HK,04:30,1594,0,2020-10-20
71,[youtube搬运][吉他]陈蕾--反方向的钟@香港城市大學[城市集]8-2-2015,04:41,8657,34,2018-05-20
72,314种相遇线上K歌大赛|香港城市大学与香港理工大学联合举办,02:25:05,239,0,2020-03-17
73,【Alice's Vlog】Random Days in CityU｜陪我一起上学吧｜香港城市大学｜学校生活｜香港留学,04:56,273,1,2020-07-30
74,香港上学生活Q&A Part3 一年制master可以实习吗｜香港城市大学就读体验｜丁丁在香港,05:01,495,0,2020-06-27
75,香港城市大学研究生英语面试（纯英文）考研复试必看,05:06,1423,0,2020-03-27
76,香港城市大学设立最高效能计算机设施 运算效能冠全港澳大学,02:32,288,1,2020-10-05
77,香港城市大學合唱團&星海嶺南女聲合唱團 城大藝術節音樂會 City University Choir 2016,01:17:29,718,7,2016-11-21
78,[cp]#陈大大vlog# 趁着去香港城市大学和老师谈事情，随便带你看看现在的香港城大,01:39,21,0,2020-10-29
79,探訪香港城市大學下,00:58,66,0,2020-08-01
80,香港城市大学与哈佛大学携手取得神经药理学新突破 - 快速活体药物筛选系统,01:53,291,1,2020-06-18
81,"20201115-香港城市大学David Srolovitz-Shape, Composition and Dynamical Programming ...",53:04,580,0,2020-11-16
82,深圳市精英单项赛——邓鹏（武大）VS邓凯杰（香港城市大学）,01:32,2383,2,2020-01-15
83,香港城市大学图书馆宣传片 (交作业),02:27,409,0,2020-04-16
84,20201011-香港城市大学Jian Lu-Recent development of structural nanomaterials:Concept...,01:15:09,1039,0,2020-10-11
85,全球首创！香港城市大学4D打印陶瓷新技术！,02:07,480,2,2020-05-15
86,香港城市大学刘璧如数学中心.,04:44,39,0,2020-06-29
87,香港城市大学设立最高效能计算机设施 运算效能冠全港澳大学,02:32,288,1,2020-10-05
88,20201114-香港城市大学Fu-Rong Chen-Achieving 3D Atomic Resolution Movie for Soft Materi,01:15:42,500,0,2020-11-15
89,[cp]#陈大大vlog# 趁着去香港城市大学和老师谈事情，随便带你看看现在的香港城大,01:39,21,0,2020-10-29
90,【香港城市大学全额奖学金研究生】惊！竟然和娜扎pk英语！,00:27,573,0,2019-12-21
91,20201107-香港城市大学Wenjun Zhang-iamond Film Surface Nanostructures Morphology...,01:15:18,737,0,2020-11-10
92,東方之珠 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,04:27,5039,9,2018-06-29
93,香港城市大学end,34:25,46,0,2020-05-15
94,想与朋友视频通话时感受到他的拥抱? 香港城市大学的新型可穿戴皮肤集成触感VR装置可望实现!,01:46,217,0,2020-06-11
95,香港城市大學男足女足守門員訓練22/10/2020 - Barson Tin,01:54,492,0,2020-10-23
96,守門員-香港城市大學CityU-2/11/2020 with Barson Tin (Sells_HK),02:40,249,0,2020-11-03
97,【2020毕业混剪】香港城市大学CSSA，我喜欢你，你应该也知道,03:55,5754,0,2020-06-20
98,2019全国大学生羽毛球锦标赛甲组男单决赛 曾源捷(同济大学) vs. 庞立仁(香港城市大学),23:48,1.8万,24,2020-10-08
99,獅子山下 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,04:22,1102,0,2018-06-29
100,香港城市大学 传播学研究方法-如何在SSCI发表论文 全5讲 主讲-祝建华 视频教程,01:47:24,380,0,2020-02-16
101,2006.04.25馬蘭-我與黃梅戲（香港城市大學中國文化中心講座）,01:45:37,1233,3,2017-10-12
102,【2020毕业混剪】香港城市大学CSSA，我喜欢你，你应该也知道,03:55,5754,0,2020-06-20
103,守門員-香港城市大學CityU-2/11/2020 with Barson Tin (Sells_HK),02:40,249,0,2020-11-03
104,祝福 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,06:06,306,0,2018-06-29
105,香港学习生活Q&A Part1｜交通｜换汇｜注册｜平板/电脑上课｜电话卡｜香港城市大学,05:32,256,0,2020-06-13
106,人体输送药物新机遇 - 香港城市大学多足微型软体机器人,01:06,358,0,2020-06-04
107,香港城市大學男足女足守門員訓練22/10/2020 - Barson Tin,01:54,492,0,2020-10-23
108,20201107-香港城市大学Wenjun Zhang-iamond Film Surface Nanostructures Morphology...,01:15:18,737,0,2020-11-10
109,Rex Chow - 香港城市大學畢業典禮 (2007) Graduation Ceremony at City University Of Hong Kong,00:13,267,0,2020-10-06
110,20201011-香港城市大学Jian Lu-Recent development of structural nanomaterials:Concept...,01:15:09,1039,0,2020-10-11
111,"20201115-香港城市大学David Srolovitz-Shape, Composition and Dynamical Programming ...",53:04,580,0,2020-11-16
112,2006.04.27馬蘭-黃梅調的風行與發展（香港城市大學中國文化中心講座）,01:25:23,1368,84,2017-10-12
113,20200531-香港城市大学谭超良-可溶液处理的二维纳米材料的制备与应用研究,47:15,1167,4,2020-06-08
114,看展vlog|跟我逛香港城市大学超值展览！达芬奇手稿真迹免费看！,02:30,244,0,2019-10-18
115,香港城市大學-女足守門員-29/10/2020 with Barson Tin-Sells_HK,03:20,583,0,2020-10-30
116,香港城市大学商学院长什么样子？今天我和城大商学院EMBA中文课程招生总监韩老师一起带你逛逛,02:54,19,0,2020-10-29
117,信为·华夏杯 小组赛 香港城市大学vs新南威尔士大学,01:55:35,82,0,2020-10-08
118,Rex Chow - 香港城市大學音樂會樂隊演出 (精華影片) [2018-08-18],03:43,754,0,2020-07-11
119,“PPP与新基建”主题沙龙暨清华大学-香港城市大学MPA-EMBA双硕士学位项目招生说明会,02:18:24,71,0,2020-08-23
120,香港城市大学食堂打卡,00:13,23,0,2020-10-15
121,香港城市大学商学院长什么样子？今天我和城大商学院EMBA中文课程招生总监韩老师一起带你逛逛,02:54,19,0,2020-10-29
122,2018.11.04 香港科技大学内地生足球队 vs 香港城市大学内地生足球队 PART II,03:21,23,0,2020-08-29
123,Rex Chow - 香港城市大學音樂會樂隊演出 (精華影片) [2018-08-18],03:43,754,0,2020-07-11
124,LifeinHK Ep.36 惊！班长被一群人围起来摸胸！｜太平山｜佛诞品酒局｜生活日常｜香港城市大学美食,16:32,1092,0,2020-05-03
125,看展vlog|跟我逛香港城市大学超值展览！达芬奇手稿真迹免费看！,02:30,244,0,2019-10-18
126,生物医学工程学系@CityU,04:53,1059,4,2020-10-30
127,2019.4.23 妈妈陪同下参加香港城市大学mappm面试,01:09,142,0,2020-03-19
128,"【直播回放】""求学与治学"" 讲坛：香港城大吕坚教授漫谈学科交叉与创新探索",01:47:31,750,4,2020-05-04
129,探訪香港城市大學中,00:58,72,0,2020-08-01
130,香港城市大学张晓玲：这本书，打破了美国梦的幻想,07:29,124,0,2020-09-24
131,香港城市大学普通话辩论队2016届学长姐送别视频,52:40,72,0,2020-07-02
132,中国科技馆【云享科学】系列之水的奥秘－表面张力（香港城市大学学生 中国科技馆实习生邓嘉怡）,05:26,66,0,2020-08-30
133,[重庆大学暑期网络与新媒体研习班]7.14香港城市大学刘幼琍教授_大数据与人工智能的应用及相关治理议题：以电讯传播为例,01:52:26,255,0,2020-07-15
134,香港城市大学研制超纳结构材料面世!,01:46,296,0,2020-06-26
135,香港城市大学翻译及语言学系介绍 Department of Linguistics and Translation,02:05,237,1,2020-03-25
136,VLOG 02|香港留学|在香港读研究生的上半年|香港城市大学,06:32,578,0,2020-03-20
137,✨高校咨询直播会第5期—香港城市大学,13:09,105,1,2020-03-16
138,波崽Vlog 07 | 香港读研 日常 兰桂坊旺角维港 收集快乐碎片 香港城市大学,06:21,264,6,2020-03-15
139,香港城市大学吕坚院士课题组：水与酒精可逆控制4D打印出世,01:11,161,0,2020-02-29
140,香港城市大学 中西文化比较认识浅论 全2讲 主讲-张隆溪 视频教程,37:40,460,0,2020-02-23
141,香港城市大学 传播学研究方法-传播实证研究方法的若干前沿 全7讲 主讲-祝建华 视频教程,02:26:50,292,0,2020-02-16
142,CityU香港城市大学｜ JD Year 1 Semester B Week 4,07:04,765,0,2020-02-08
143,香港留学周记18开学篇：香港城市大学报到指南,02:26,427,1,2019-12-26
144,Vlog02 | 我在香港城市大学的周末生活,03:33,633,1,2019-12-23
145,香港城市大学宣传片,06:10,343,0,2019-11-26
146,波崽Vlog 05 | 波崽香港留学日常 香港城市大学 香港读研,05:48,1056,1,2019-11-21
147,DAILY VLOG| 20180416| 香港城市大学| 和学姐一起探校看房| 回忆杀,04:48,445,1,2019-11-18
148,CityU vlog | 香港城市大学  HPV 9价疫苗接种体验,02:15,337,1,2019-10-10
149,vlog13|开学一周穿上了长袖长裤，香港城市大学到底有多冷？,03:54,357,0,2019-09-23
150,香港城市大学cr自制早餐,10:05,104,0,2019-08-15
151,香港小众新晋拍照地——香港城市大学,05:45,507,1,2019-08-08
152,「灵光旅行摄」VLOG 055 香港小众新晋拍照地，香港城市大学打卡,05:40,126,1,2019-08-08
153,劉楚華-高山流水說古琴（蘇思棣演奏）-1999年—香港城市大學,01:45:07,431,0,2019-07-11
154,香港城市大学 旺角 新朋友,00:24,41,0,2019-07-05
155,【香港城市大学】一万种不舍得,04:57,383,0,2019-05-31
156,香港城市大学：2019年内地招生229人 英语需达120分以上,24:12,523,1,2019-05-24
157,香港城市大学食堂测评|请做好只吃肉准备！,04:06,475,0,2019-05-10
158,香港城市大学学生纪录片：《船长的灯塔》,11:05,368,0,2019-04-04
159,2019香港城市大學 發條橙劇社春戲《誰家老婆上錯床》宣傳片,03:02,184,1,2019-04-01
160,｛ becky酱 ｝vlog | 跟我过一天 | 逛街见朋友 | 香港城市大学AC3饭堂 | 上课吃饭 | 酒吧打工仔 | 小小拆箱？跳舞小花絮～,05:19,452,1,2019-02-16
161,【CityU】香港城市大学MA Creative Media专业介绍,03:04,475,0,2019-02-14
162,【留学香港】香港城市大学Dr. Samson Young关于作品集准备的建议,02:52,337,0,2019-02-10
163,｛ becky酱 ｝这是一个无聊吃播 | 香港城市大学AC3饭堂 | 吃草吃肉 | 和同学闲聊 | 美式全餐 | 大鸡腿大猪排～星巴克只要16块！,17:22,457,0,2019-02-07
164,香港城市大學發條橙劇社 祝大家豬年大吉！！！,03:17,121,8,2019-02-04
165,香港城市大學發條橙劇社-2019微電影先導片,01:53,87,4,2019-02-01
166,【香港】香港城市大学微电影—All About Dreams,07:15,198,0,2019-01-23
167,香港城市大學普通話話劇社 發條橙劇社：2018年度大戲《秦國喜劇》精彩片段集錦,27:08,137,0,2018-12-24
168,青春版《牡丹亭》的演出盛況-汪世瑜-香港城市大学,01:42:35,380,0,2018-12-17
169,与你同航·名校直播间 | 香港城市大学直播回顾,06:16,133,0,2018-12-16
170,CityU School Day | 香港城市大学VLOG,04:05,1977,7,2018-12-12
171,王芝泉讲昆曲武旦（香港城市大学崑剧讲座）,02:57:36,255,0,2018-11-23
172,2018年香港城市大学cssa六校联赛篮球宣传片,02:28,198,0,2018-10-29
173,香港城市大学了了剧社给您拜年啦！,01:42,90,0,2018-10-06
174,香港城市大学一周vlog- Explore hk week1,03:26,885,0,2018-09-13
175,香港城市大学——我的开学第一天,02:17,1977,4,2018-09-07
176,香港城市大学漫展,03:40,193,0,2018-07-02
177,只有和聲 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,05:38,173,1,2018-06-29
178,忘了我是誰 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,04:57,526,2,2018-06-29
179,再回首 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,04:32,1927,2,2018-06-29
180,Sure On This Shining Night 2017香港城市大學合唱團週年匯演 《樂·樂》,04:25,185,0,2018-06-29
181,玫瑰三願 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,02:31,337,7,2018-06-29
182,春雨沙沙 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,01:53,488,0,2018-06-29
183,Alleluia 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,01:12,69,3,2018-06-29
184,All Things Bright and Beautiful 2017香港城市大學合唱團週年匯演 《樂·樂》,03:17,254,0,2018-06-29
185,【香港城市大学】传播学研究方法-复杂网络在传播中的应用,02:32:36,607,0,2018-06-28
186,Witness 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance-REBIRTH,03:22,42,0,2018-06-26
187,The Prayer 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance-REBIRTH,04:55,140,0,2018-06-26
188,The Music's Always There With You2018香港城市大學合唱團週年匯演《重生》CityU Choir AP,03:53,181,0,2018-06-26
189,The Greatest of These is Love2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance,03:22,54,0,2018-06-26
190,The Glorious Music of Life 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance,03:49,42,0,2018-06-26
191,Summertime 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance-REBIRTH,03:37,99,0,2018-06-26
192,One World 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance-REBIRTH,05:04,65,0,2018-06-26
193,I've Got You under My Skin 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance,04:03,104,0,2018-06-26
194,I Give You Praise 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance-REBIRTH,04:36,34,0,2018-06-26
195,I Believe in Springtime 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance,03:37,47,0,2018-06-26
196,Goodbye Jazz 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance-REBIRTH,02:56,40,0,2018-06-26
197,Fly Me to the Moon 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance-REBIRTH,02:26,341,0,2018-06-26
198,Dry Bones 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance-REBIRTH,03:57,32,0,2018-06-26
199,Cantique de Jean Racine 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance,05:57,83,0,2018-06-26
200,All Things Bright & Beautiful2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance,02:56,64,0,2018-06-26
201,All the Praise of a Lifetime 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance,04:19,37,1,2018-06-26
202,A Closing Prayer 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance-REBIRTH,02:27,20,0,2018-06-26
203,假如世界沒有聲音 2018香港城市大學合唱團週年匯演《重生》CityU Choir Annual Performance-REBIRTH,06:18,132,0,2018-06-26
204,香港城市大学【Onion Loop】茶底世界,04:34,656,2,2018-03-27
205,姚公白香港城市大学讲座：姚丙炎《琴曲勾沉》中的琴乐演绎特征（二）,01:49:00,1198,9,2018-03-23
206,姚公白香港城市大学讲座：姚丙炎《琴曲勾沉》中的琴乐演绎特征（一）,01:52:25,1698,11,2018-03-23
207,【UniEva留学评测】香港城市大学-人文篇：成大的时光隧道原来可以通往土耳其！,07:34,1866,0,2018-03-12
208,【香港城市大学】王安祈 戏曲对中国名著小说的诠释,01:34:02,162,0,2018-01-13
209,【香港城市大学】魏海敏小姐 唱了一段贵妃醉酒,21:31,415,0,2018-01-13
210,【香港城市大学】王安祈 戏曲对世界经典的诠释,01:37:43,196,6,2018-01-13
211,【香港城市大学公开课】郑培凯老师汤显祖与南戏的地理分布,01:43:01,1108,2,2017-10-16
212,2017香港城市大学 CSSAUG Ocamp宣传视频,02:04,2400,9,2017-07-27
213,風鈴 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,05:26,79,0,2017-07-15
214,花絮 （送別） 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,04:46,503,1,2017-07-15
215,虞美人 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,05:03,80,0,2017-07-15
216,只有和聲 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,11:43,169,0,2017-07-15
217,The Lark in the Clear Air 2017香港城市大學合唱團週年匯演 《樂·樂》 CityU Choir Annual Performance,02:11,159,1,2017-07-15
218,Pilgrim's Chorus 2017香港城市大學合唱團週年匯演《樂·樂》 City University Choir Annual Performance,03:44,70,0,2017-07-15
219,祈禱 2017香港城市大學合唱團週年匯演 《樂·樂》 City University Choir Annual Performance,05:51,333,0,2017-07-15
220,香港城市大学 传播学研究方法-结构方程模型在传播研究中的应用 全11讲 主讲-彭泰权 视频教程,03:54:42,1872,1,2017-07-02
221,香港城市大学 传播学研究方法-传播实证研究方法的若干前沿 全7讲 主讲-祝建华 视频教程,02:26:48,1144,8,2017-07-02
222,香港城市大学 中西文化比较认识浅论 全2讲 主讲-张隆溪 视频教程,37:39,893,0,2017-07-01
223,香港城市大学 中国语言文学前沿讲座系列 全4讲 主讲-张隆溪 视频教程,01:23:41,1076,0,2017-07-01
224,香港城市大学 中国传播学研究方法及其国际化 全6讲 主讲-祝建华 视频教程,02:22:47,1361,7,2017-07-01
225,香港城市大学 全球化语言工业与应用法语的关联 全5讲 主讲-郑定欧 视频教程,01:54:39,237,0,2017-06-25
226,济生方 —— 香港城市大学 City University of Hong Kong,04:38,438,0,2017-06-01
227,#有材有料#第9期丨全球首创！香港城市大学成功研制最强镁合金,07:10,474,2,2017-04-11
228,2017香港大专杯女子足球决赛 - 香港城市大学VS香港浸会大学,04:19,395,0,2017-03-03
229,浙派笛艺的形成和发展-杜如松先生-香港城市大学中国文化中心艺术示范讲座-2011.09.22_2011.09.23,02:56:50,708,9,2017-02-05
230,尺八源流-杜如松先生-香港城市大学中国文化中心艺术示范讲座-2011.09.26,01:39:37,407,0,2017-02-05
231,香港城市大学合唱团 All things bright and beautiful,04:05,453,0,2017-01-14
232,【凡益频道】凡益香港行 | 香港城市大学创意媒体中心,05:35,567,0,2016-10-27
233,梁谷音香港城市大学讲座，六旦之俏,01:39:20,405,2,2016-10-04
234,香港城市大學 2016-CSSAUG－Ocamp宣傳視頻「碰碰碰」,02:23,485,0,2016-07-19
235,香港城市大學合唱團週年音樂會2016|City University Choir Annual Performance,01:11:32,665,220,2016-05-15
236,2015香港城市大学CSSAUG Ocamp结营视频,03:06,1316,13,2015-09-19
237,2015香港城市大学CSSAUG Ocamp宣传视频,02:13,992,16,2015-07-25
238,港城大学生记录永生难忘的一节宪法课：有人纵火“救港”，我们读书报国！,00:55,42.7万,14,2019-11-14
239,香港读研Q&A | 城大申请 | 个人经验之谈,25:48,1631,4,2019-03-27
240,学姐香港留学生活Q&A Part5 城大资源｜打印扫描｜粤语班｜各种活动｜【鲨丁鱼】,04:44,150,0,2020-07-11
241,【Study with us】网课期间香港城大MKT研究生的学习生活（附上几个小彩蛋🥚）,10:40,189,8,2020-11-22
242,城大营销，你还有机会！,00:17,8,1,2020-11-24
243,进棚拍摄 城大imc上课日常 自制小火锅 VLOG2 |在香港读传媒是一种怎样的体验 深夜炸鸡 和我一起逛超市 日常vlog,12:31,2521,11,2019-09-24
244,vlogmas08|香港留学生活分享|城大中大理大浸会租房推荐，金狮花园一期,05:38,1060,2,2019-12-29
245,后疫情时代，我为什么放弃爱丁堡大学转战香港城大？,47:41,111,0,2020-08-12
246,Murmansk's Video | CityU学子谢菲交换日记4: 达西庄园,20:12,62,0,2019-12-04
247,Murmansk's Video | CityU学子谢菲交换日记3,11:03,56,0,2019-11-22
248,MKT 5643 Advertisement for BEAR BY Multivitamin from CityU (HK),01:21,94,0,2019-11-20
249,Murmansk's Video | CityU学子谢菲交换 Vlog2,08:32,83,0,2019-11-10
250,第三周|帮朋友拍作业➕探秘港城大达芬奇展,04:50,88,0,2019-10-11
251,无shopping不城大，建在商场里的hk城市大学初体验,05:08,252,0,2019-09-07
252,城大开学 | 在香港读大学是什么体验？| 纯生活记录 | 开学一周的杂七杂八日常 | 英文系 |,04:27,472,0,2019-09-07
253,HK - CityU x 旺角 anniversary,03:14,244,0,2019-06-22
254,【CityU嘉年华动漫社】极乐净土+染上你的颜色+江南皮革厂,04:44,403,0,2017-06-12
255,獅子山下﹣城大合唱團週年匯演2016,04:29,508,4,2016-05-16
256,忘了我是誰﹣城大合唱團週年匯演2016,05:55,889,4,2016-05-16
257,祈禱﹣城大合唱團週年匯演2016,07:12,186,0,2016-05-16
258,【大脸Yijia】付了钱留学中介也不会帮你做的事？这个网站一定要自己去看！香港研究生就读体验？学渣逆袭香港城市大学逆袭世界500强名企的关键机会点！,10:31,9426,40,2020-10-22
259,【大脸Yijia】做一周管理咨询是什么体验？为啥我不向往这个高薪行业了？vlog香港城市大学昆士兰大学合作课亚洲管理咨询IS6930C/唠嗑/职业追求/mbb,11:58,1.5万,156,2019-10-28
260,【昆曲】桃花扇 2017年香港城大演出 钱振荣 龚隐雷,02:40:25,1990,4,2019-07-20
261,CityU Mock Interview,05:05,47,1,2020-04-09
262,【COC TRPG】港城大背景模组《住在秋千上的人》实况－第零话,08:18,13.5万,723,2015-06-26
