,TITLES,时长,播放量,弹幕数,发布日期
0,北方女神学霸在香港城市大学的体验/到香港留学后悔吗？,08:16,933,1,2020-07-09
1,（上）三本院校逆袭香港城市大学｜留学中介到底该怎么选才能避坑｜DIY资料大放送,15:00,4491,17,2020-05-21
2,在top50香港城市大学读研是一种怎样的体验？（内有彩蛋）#香港读研##留学生活#,04:02,3380,2,2020-04-19
3,【香港城市大学】震惊！一座建在商场里的大学！连大门都没有的大学！好绝一学校！,04:10,2150,3,2019-08-25
4,没有雅思成绩也可以来香港读研！我为什么拒绝了香港城市大学的offer？,04:11,1886,4,2020-04-06
5,【留学香港】9分钟介绍香港城市大学比较多学生申的MSc Business Information Systems专业,09:49,3015,0,2019-02-07
6,香港城市大学研究生英语面试（纯英）考研复试必看,05:05,8.8万,160,2020-03-25
7,来香港读master的上学日常 「香港城市大學」跟我一齊遊城大吧！,03:09,3400,4,2019-03-27
8,Vlog 1｜Room tour香港城市大学学生宿舍公开,18:13,1749,2,2020-03-07
9,【香港vlog8】在香港城市大学读创意媒体是一种什么样的体验,05:03,3285,4,2018-12-01
10,2020年第一次回HK上学惊现阿sir巡逻？香港城市大学食西餐cityu vlog,16:41,2502,3,2020-01-28
11,【香港vlog2】香港城市大学上课体验，香港大学网红店拔草，还有poppy本周购物的好物推荐哦,02:47,6077,12,2018-09-08
12,【CityU】香港城市大学给本科面试的建议,05:05,3246,3,2019-02-18
13,【香港留学】香港城市大学校长郭位的5分钟采访,05:06,930,4,2019-01-31
14,香港城市大学 | ACCA九门免考轻松Get，内地考研无法得到的机会,09:22,1270,2,2019-07-03
15,香港城市大学: 全球一流学府,06:10,4355,51,2020-04-27
16,开学啦! 香港城市大学CityU School day | 上学的一天VLOG,05:57,3517,3,2019-01-19
17,香港城市大学新学期开学第一天发生了什么,05:08,1387,0,2020-01-28
18,【香港留学】5分钟了解香港城市大学（CityU）,05:12,3734,0,2019-01-27
19,（下）三本院校逆袭香港城市大学 | 留学中介到底该怎么选才能避坑？ | DIY资料大放送！,12:20,4687,8,2020-05-21
20,【港校食堂美食测评】香港城市大学食堂美食测评 | 港真好味,04:06,1207,2,2019-03-25
21,【香港留学】5分钟了解香港城市大学（CityU）,05:12,3734,0,2019-01-27
22,香港城市大学 | ACCA九门免考轻松Get，内地考研无法得到的机会,09:22,1270,2,2019-07-03
23,【CityU】航拍香港城市大学,01:59,1103,1,2019-03-01
24,【校园实拍】小而精的香港城市大学,07:20,4006,7,2018-07-13
25,香港的大学街访||香港城市大学——最非主流大学,10:33,1997,5,2020-02-23
26,香港城市大学cityu | 除了食堂吃什么？ 跟我一起上早课,08:23,1174,6,2019-02-13
