产业运营经理,10-20k,南京,3-5年,本科及以上,职责描述：1、负责某个启迪物联网创新中心的运营管理；2、根据公司总体战略对目标城市和区域进行前期市场调研；3、参与创新中心前期整体规划工作；4、参与创新中心前期沟通与商务谈判；5、负责创新中心与总部的日常沟通与联络，保证创新中心顺利运营；6、带领项目团队完成创新中心的经营指标。任职要求：1、全日制本二以上学历，硕士优先；2、具有科技企业孵化从业经验，或园区招商经验优先；3、具有较强的组织协调能力，执行力强，良好的学习能力、沟通能力以及团队协作精神；4、可接受短期出差；5、有管理岗位经历的优先；6、能够适应长短期外派者优先。
物联网产品及传感器应用开发经理,20-40k·15薪,苏州-工业园区,10年以上,统招本科,职位信息1.负责物联网平台整体架构设计、体系及其标准制定和功能模块设计；2.负责物联网数据采集层、数据传输层，云服务层、业务应用层的数据传输协议以及接口规范定义及云平台架构搭建，并制定产品解决方案；3.深入理解业务架构和需求，项目交付成本评估和系统风险识别，对可用性负责；4.熟悉MEMS传感器在工业领域应用情况；5.参与软件需求设计，负责应用需求实现软件架构设计，规划功能模块和接口；6.负责完成相应的设计报告、技术标准和技术文档；7.对开发人员进行系统架构相关技术和业务培训，指导其开发工作，并解决系统开发、运行中出现的各种问题。任职要求：1.本科以上学历，计算机、自动化、电子、通信等相关专业；2.具有5年以上产品研发、物联网技术架构背景，具备IoT/物联网场景，公共云产品体系、数据库、大数据、安全和智能服务等一个或多个技术领域的综合应用能力；3.具有较强业务分析能力、抽象架构设计能力、精通物联网技术原理，熟悉物联网相关协议及相关开源项目，具有相关技术的综合组网经验；4.精通高性能、高可用的分布式系统的设计及应用，熟悉C++，Java等应用；5.熟悉MEMS传感器应用系统开发；6.对技术有强烈的兴趣，具有良好的学习能力，沟通技能，良好的管理能力和团队合作能力；主动、严谨，责任心强，有较强的抗压能力。
信息专家（物联网）,30-50k,南京,10年以上,本科及以上,工作描述：在集团数字化转型战略的指导下，通过物联网技术的实施，对企业管理过程出现的问题提出解决方案，优化生产流程、为数字化转型战略的推动助力。工作职责:1、熟悉物联网技术体系架构，拥有丰富的物联网行业解决方案制定、系统架构设计的经验；2、完成需求调研和分析工作，完成解决方案选型和设计，并撰写系统设计方案；3、负责相关物联网产品推广，以及行业解决方案的整合；4、负责解决方案涉及引入产品的对接建设等工作；5、深入理解业务架构和需求，识别系统风险，设计稳定性，对可用性负责；6、能为团队引入创新的技术和方案，用创新的思路解决问题，能对现存或未来系统进行宏观的思考，规划形成统一的框架、平台或组件；7、关键技术攻坚项目的带头人，疑难问题的终结者。任职资格:大学本科或以上学历，工业自动化，电子信息、通信、物联网等相关专业毕业，且具有工业互联网行业经验10年以上； 2、熟悉物联网行业专业知识；3、能独立进行解决方案设计，具有项目运作与解决方案设计经验； 能独立进行市场调研，完成市场分析工作，能组织并参与解决方案拓展策略的制定与实施； 5、对业界最新的产品、技术发展动态有比较密切的关注，对技术有强烈的兴趣，具有良好的学习能力，沟通技能，团队合作能力；6、具备良好的沟通、协调能力，对问题具有敏感性，推动力强； 7、熟悉楼宇自动化、PLC集成、AI应用等技术者优先。
物联网行业渠道总监,20-30k,南京,5-10年,本科及以上,职位描述：1、根据公司云服务全线产品能力，面向房开、公建物联网领域开展渠道拓展与生态建设工作；2、不断优化产品线组合，协调服务内各子系统的搭配与组合产品输出;3、从行业需求、痛点出发、梳理建筑领域智能化产品能力及合作伙伴资源，形成在建筑物联网的联合产品和方案，为行为客户提供创新、变革的行业解决方案；4、筹备市场活动，在全国一级区域召开市场活动，配合各级销售单元推广公司建筑物联网解决方案，以及与合作伙伴共同开发的联合方案；5、持续跟踪建筑物联网领域业务发展趋势，持续把握竞品动态，保持公司产品竞争力；6、负责管理和持续优化营销团队组织，加强经验分享，提高专业能力，提升团队整体素质；7、销售数字导向，完成既定绩效目标。任职要求：1、全日制本科以上学历，电子信息、市场营销、工程管理等相关专业，至少6年以上软硬件市场营销或市场拓展工作经验，3年以上工业互联网经验，2年以上团队管理经验，有独立跟踪并完成大型项目经验；2、深入了解房开、公建物联网生态链条以及生态伙伴在不同链条的价值和需求，形成在to B领域的物联网生态和打法，并拥有相应的行业洞察与客户、渠道资源；3、优秀的团队建设及管理能力，对业绩、数据敏感，适应以结果为导向的工作方式，有敏锐的市场嗅觉，优秀的应变、独立开拓市场能力、计划控制能力，具有高度的工作热情，极强的人际关系处理与沟通谈判技巧、具有独立分析、解决问题的能力；4、喜欢从事具有挑战性的工作，能承受较大的工作强度与压力，精力充沛，身体健康，富有开拓精神，能够适应国内短期出差。
物联网工程师,10-25k·15薪,南京-雨花台区,3-5年,统招本科,职责描述：1.支撑电力物联网、智能运维、智能巡检及故障智能识别系统建设；2.支撑物联网终端通信接入；3.支撑物联网平台架构设计和编码等开发工作；任职要求：1.本科及以上学历，具有无线物联网协议开发经验，了解无线传感网WSN和物联网相关应用；2.熟练掌握C、C++、Golang中一门开发语言，对软件的开发、调试有独立的思考和认识；3.熟悉tcp/udp、mqtt等通讯协议4.具备Linux服务端开发与调试经验5.熟悉Docker，熟悉RabbitMQ等消息队列
物联网应用解决方案总监,12-33k,无锡,5-10年,本科及以上,1、负责开拓对接政府机关各委办局对于物联网项目、智能化项目的痛点和需求，建立良好的客户关系。2、负责参与行业标准与规范编制，承接系统化的需求调研和标准文档编制。3、负责物联网、智能化项目的方案支撑工作以及对政府高层领导用户的方案导入和宣贯工作。4、负责解决方案需求分解分配工作及系统业务设计工作，推进实施可落地的物联网、智能化试点示范项目。5、积极与主要物联网、智能化项目集成商及生态企业建立良好的合作关系，通过协议等方式，形成有稳定产出的合作模式。6、领导安排的其它工作。任职要求：1、本科及以上学历，计算机、通信、电子信息等相关专业。2、5年以上解决方案设计与开发经验，有部委标准规划和编制经验、政府资源和政府物联网、智能化项目落地合作经验者优先。3、熟悉车联网、智能制造、工业互联网、社会治理等核心业务及其信息化系统。4、掌握大数据、网络、云计算等基础知识，在行业系统设计中可灵活运用。5、了解业务系统的数据应用情况，对未来技术发展的趋势等有一定见解和思考。6、擅长组织与协调跨部门、跨组织工作开展，有大局观，能承受工作压力、适应出差。
物联网应用解决方案总监,12-30k,无锡-新吴区,5-10年,本科及以上,职责描述：1、负责开拓对接政府机关各委办局对于物联网项目、智能化项目的痛点和需求，建立良好的客户关系。2、负责参与行业标准与规范编制，承接系统化的需求调研和标准文档编制。3、负责物联网、智能化项目的方案支撑工作以及对政府高层领导用户的方案导入和宣贯工作。4、负责解决方案需求分解分配工作及系统业务设计工作，推进实施可落地的物联网、智能化试点示范项目。5、积极与主要物联网、智能化项目集成商及生态企业建立良好的合作关系，通过协议等方式，形成有稳定产出的合作模式。6、领导安排的其它工作。任职要求：1、本科及以上学历，计算机、通信、电子信息等相关专业。2、5年以上解决方案设计与开发经验，有部委标准规划和编制经验、政府资源和政府物联网、智能化项目落地合作经验者优先。3、熟悉车联网、智能制造、工业互联网、社会治理等核心业务及其信息化系统。4、掌握大数据、网络、云计算等基础知识，在行业系统设计中可灵活运用。5、了解业务系统的数据应用情况，对未来技术发展的趋势等有一定见解和思考。6、擅长组织与协调跨部门、跨组织工作开展，有大局观，能承受工作压力、适应出差。
电信-物联网营销总监,20-40k·15薪,无锡-锡山区,10年以上,大专及以上,工作职责:1.主持物联网事业部的整体工作，包括工作计划制定，工作推进，考核宣贯，与各部门沟通协调。2.根据公司战略制定物联网营销策略和实施计划，经批准后组织实施；3.领导事业部团队，面向各类市场销售公司的物联网产品，实现业绩增长、达成业绩目标；4.洞察客户的产品需求和机会，和客户的不同层级建立良好的沟通机制，从而实现公司产品和客户需求的有效对接；5.协调和组织公司内部市场、技术、服务等部门资源，高效支持客户开发和解决客户问题；6.团队成员的培训及培养，完善营销团队的考核、激励及管理制度，培养和提升团队能力。任职要求：1.大专及以上学历；2.5-10年IoT销售经验，其中5年以上大客户管理经验优先；3.具备优秀的商务谈判能力和项目协调能力；4.优秀的团队精神与沟通、协调能力，较强的责任感与抗压能力；5.结果导向，能够带领团队有效达成目标；
物联网事业部营销总监,25-35k,无锡,无,大专及以上,工作职责:1.主持物联网事业部的整体工作，包括工作计划制定，工作推进，考核宣贯，与各部门沟通协调。2.根据公司战略制定物联网营销策略和实施计划，经批准后组织实施；3.领导事业部团队，面向各类市场销售公司的物联网产品，实现业绩增长、达成业绩目标；4.洞察客户的产品需求和机会，和客户的不同层级建立良好的沟通机制，从而实现公司产品和客户需求的有效对接；5.协调和组织公司内部市场、技术、服务等部门资源，高效支持客户开发和解决客户问题；6.团队成员的培训及培养，完善营销团队的考核、激励及管理制度，培养和提升团队能力。任职要求：1.大专及以上学历；2.5-10年IoT销售经验，其中5年以上大客户管理经验优先；3.具备优秀的商务谈判能力和项目协调能力；4.优秀的团队精神与沟通、协调能力，较强的责任感与抗压能力；5.结果导向，能够带领团队有效达成目标；
IOT软件开发工程师（物联网）,15-30k·15薪,南京,3-5年,本科及以上,1、熟悉通信模组底层接口，负责模组的应用层软件设计，包括蓝牙、WIFI、4G等无线通信模块。2、负责设备控制器与通信模组的软硬件交互接口设计。3、基于物联网产品的问题定位、分析及解决。4、独立、高质量地完成嵌入式软件开发、调试与验证，负责嵌入式软件开发流程、规范的编制、完善与优化。职位要求：1、本科及以上学历，计算机、信号处理、电子工程/通信系统；2、熟悉物联网的系统架构及通用通信协议，有MQTT、CoAP等物联网领域协议开发经验；3、熟练使用FreeRTOS、RT-thread、uCOS等至少一种嵌入式操作系统下的软件开发；4、有BLE、WIFI、4G等无线产品或模组开发经验；5、熟悉基础网络协议，有TCP/ UDP和Socket编程经验；6、熟练使用UART、485、IIC、SPI等通信接口的软硬件设计。7、熟练使用Eclipse GCC、IAR、KEIL等开发环境。
