城市,链接,岗位,工资,公司规模,公司类型,hr活跃表现
广州,https://www.zhipin.com/job_detail/5a951b4a523319ce1Hx52tu9GVBW.html?lid=1ZCNdukdgpJ.search.16&securityId=fknA-vOaV9YLP-s1qhYzwa1CT6V_0a3UUuIZfdTPz2S54egGrRbvZDqPchg3h1QPDwJMXKD0h24u8iRgnGzg5hj5kh0FuLwMQ-4W-XMb1qhhjNr3PtU~&sessionId=,数据分析师,15-20K·15薪,B轮,,今日活跃
广州,https://www.zhipin.com/job_detail/4615f15bd0da0ae80XF_3dq0F1A~.html?lid=1ZCNdukdgpJ.search.17&securityId=aZqyPzOVIN4Vv-Z1CVgEf_XpwF3YUB_dWqjv8JjxesBJcyExcX026eVYNND5DhsoEdnUfPirEDgKxxUf4z63GfZj4pshCLpTRV2EYa89cNIQ66nR&sessionId=,数据分析师,7-11K,20-99人,投资/融资,半年前活跃
广州,https://www.zhipin.com/job_detail/12bbb65bb11ad6591HR70ty-FVtV.html?lid=1ZCNdukdgpJ.search.18&securityId=chn9ML_dEQYQD-e1Fc2chrWZAhKtfUSFLT7zgkNAOqtKfDpCazgc8HP14L5kPX9CRFR2QqRQiC6FgMEGqsLjnNdI6ZUA_GIDrUkuBBjn03gIvBiYSQ~~&sessionId=,数据分析师,7-11K,B轮,,半年前活跃
广州,https://www.zhipin.com/job_detail/894c088b6dd66b901HN62dS6E1FY.html?lid=1ZCNdukdgpJ.search.19&securityId=vuDKSwdBNvZ5v-n1PVhpU1uH8nwmPaQfLo8qRlhK5z33AKdvPeP12kzaLD-ISOQVhgx7fdOCREoGCYlRFufEeuTsKgt9Zm4A7aWLDKXu89gQcUd_Zg~~&sessionId=,数据分析师,12-18K·13薪,不需要融资,,本月活跃
广州,https://www.zhipin.com/job_detail/11b05cf4fed692921HN53Ni5EVtQ.html?lid=1ZCNdukdgpJ.search.20&securityId=GuJ7vwgWhI9pS-61hwrLKEofncHCWzJK0sQVw3fBAkyjGDK2DacEp45SSATihteJrU6mWAx9tKUtxbLn49QbR0VuQ5wnz_3Xdic3rtoRG3zyIioLlZA~&sessionId=,数据分析师,15-20K,20-99人,信息安全,本月活跃
广州,https://www.zhipin.com/job_detail/8f5395c290c641011HN63ty8FFpT.html?lid=1ZCNdukdgpJ.search.21&securityId=0vJeNuN9It4kI-C1scobIpw4w9mph8Vd3dtJ4CBM-M59OJg1RvVhuU78nnSkmhMEirYfPa_S-afxwBWHNobApbQZQ3JgF_ElcI9qB2ABQN8Iu_0T3Bs~&sessionId=,数据分析师,9-14K,A轮,,3日内活跃
广州,https://www.zhipin.com/job_detail/e938496db86c604e1HN_3du-FlZV.html?lid=1ZCNdukdgpJ.search.22&securityId=aDgkNIPE5BSxY-b1oq5WTTEBY6gtMRux8KB_5biqEOxIDVPAsy0u33_uxCmHIAUbBXYN85b-FKyRHauQ35KEMt6JuZ833fRGu-H13IMRWiuJ_B88swoL&sessionId=,数据分析师,15-25K,未融资,,3日内活跃
广州,https://www.zhipin.com/job_detail/4b277d3bebc5551d1n183d28FFJQ.html?lid=1ZCNdukdgpJ.search.23&securityId=iaNMtw8PkGz7n-J1u7632HSfYRJLBxwzD9g9SP8scfjqgVJTJF3S4L7T9uJiRAgbUUyO3xmIPfcAaCwerrssqVfklvIF97yu4vKjC6w1WSaFGbVR8w~~&sessionId=,数据分析师,12-20K·13薪,未融资,,半年前活跃
广州,https://www.zhipin.com/job_detail/a37493fc099725c51X152ti8FVRT.html?lid=1ZCNdukdgpJ.search.24&securityId=N66DPxmYj7tsd-l1ZEWWVmz8oCjzzIHCx5XqAEGn7SxMyGpeTRDsrouywRCTfiZNUFF4GBGIuuTTohsQsbF2nszzHyWNuk19gOdft5kC0znn_DvHZZk~&sessionId=,数据分析师,15-25K,不需要融资,,今日活跃
广州,https://www.zhipin.com/job_detail/e6a044e81141b45b1HN409-7F1NX.html?lid=1ZCNdukdgpJ.search.25&securityId=olUQW9TQldREn-G1Uf4IvIoNOoAu5u5rNqrXhuQyP8Bqg5FKc_JO8-pUIdY0pkmSLLKFkrRqIYMk_61NPx4l4fbqaktpHabFAoW2erzpBox9Y3kb_Hc~&sessionId=,数据分析师,8-13K,不需要融资,,今日活跃
