commentor_name,comment_text,create_time,like_count,reply_number
11一旧饭,珠江投资属下公司优选好生活，华南区域连续多月拖欠薪资，目前九月十月工资到现在都还没发，没一个人出面交代过，垃圾行政人事还拽得很，视我们无物，还想尽办法各种克扣，无良公司，拖欠工资，还我血汗钱！,2021-11-07 14:05:16,0,1
银河漫游番茄蛋,我们是冠军！,2021-11-07 14:05:13,0,0
房产小事件,从8强每个bo5都打满五局 遇到的对手都很强,2021-11-07 14:05:06,0,0
太二真人66666,我们是冠军！,2021-11-07 14:05:02,0,0
MAKI丶bilibili,冲,2021-11-07 14:04:57,0,0
Y太白86,今年粉爆edg。,2021-11-07 14:04:48,1,0
桃冉月,恭喜EDG,2021-11-07 14:04:47,0,0
孜非孜,NB！！！,2021-11-07 14:04:46,0,0
箐靡,！！！,2021-11-07 14:04:42,1,0
曾经的蘭貓现在的碎,名副其实的冠军！,2021-11-07 14:04:39,0,0
我一个人羡慕,就这,2021-11-07 14:04:27,0,0
我一个人羡慕,一群臭鱼烂虾,2021-11-07 14:04:08,0,0
馒头南投,都给我嚣张点儿，我们是冠军！！！,2021-11-07 14:03:43,1,0
Tulips0314,我们是冠军啊啊啊,2021-11-07 14:03:31,0,0
是谁抢到了我的昵称,你们是冠军,2021-11-07 14:03:28,0,0
-举个栗子鸭,恭喜EDG！谢谢你们！,2021-11-07 14:03:18,0,0
冬天会见面吗,我们是冠军！,2021-11-07 14:03:08,0,0
海与七月,EDG 永远的神！,2021-11-07 14:03:05,0,0
真的讨厌喝奶茶,感谢fpx买下牛古力，不然真的悬。,2021-11-07 14:02:58,0,0
妮可可爱吃甜白粥,恭喜恭喜,2021-11-07 14:02:57,0,0
v墙头追星的少女v,🏆🏆🏆,2021-11-07 14:02:56,0,0
Chero不说话,1、“7年无赛果的LPL的菜鸡在冰岛登陆。”  2、“丢脸的EDG痛失好局进入小组第二。”  3、“卑鄙无耻的内战幻神打败自家兄弟进入8强。”  4、“EDG差点被LCK双冠王掀翻。”  5、EDG不破不立进入决赛。”  6、伟大的EDG迎来了自己永远忠实的信徒！,2021-11-07 14:02:50,0,0
