commentor_name,comment_text,create_time,like_count,reply_number
進度條君撐不住了_,你们要加油！还有WE//@RNG电子竞技俱乐部:恭喜EDG！！冠军🏆！,2021-11-07 02:41:59,0,0
Turbo丶Wong,激动！！！,2021-11-07 02:41:57,0,0
是你吗小淘气,我们是冠军！！！ meiko冠军皮肤有可能选娜美吗,2021-11-07 02:41:56,0,0
tjxzdxwy,不仅仅是冠军还是冠军中的冠军,2021-11-07 02:41:55,0,0
upier7,我的明凯应该很开心,2021-11-07 02:41:55,0,0
JnNanShen,nb,2021-11-07 02:41:54,0,0
面包也许会有吧,牛逼！！！,2021-11-07 02:41:52,0,0
KwonJY_Aroha,我们是世界赛冠军！,2021-11-07 02:41:51,0,0
爱看球的曹阿瞒,EDG，我们是冠军,2021-11-07 02:41:50,0,0
不可逾越_,恭喜呀恭喜,2021-11-07 02:41:49,0,0
旋律循环,nb 我是猪仔7777777,2021-11-07 02:41:48,0,0
沉都-,我们是冠军！！！,2021-11-07 02:41:47,0,0
183的宝贝y,恭喜！,2021-11-07 02:41:47,0,0
缘来我叫小杜,冠军！！！,2021-11-07 02:41:46,0,0
阿雯-Sd,一人血书让jiejie开微博！！！！,2021-11-07 02:41:46,10,0
月映星河丶,我们的队服也有一颗崭新的星星了🥰🥰🥰🥰,2021-11-07 02:41:45,0,0
小糖有点甜o,555看哭了！！恭喜EDG,2021-11-07 02:41:45,0,0
孤海深骸,恭喜,2021-11-07 02:41:41,0,0
田小小小小小野,牛毕,2021-11-07 02:41:37,0,0
安西21,庆祝,2021-11-07 02:41:36,0,0
抱一只小晴,EDG牛逼！我们是冠军,2021-11-07 02:41:33,0,0
xerathe,我们总是冠军,2021-11-07 02:41:32,0,0
小湛喜欢听情歌,恭喜EDG痛失亚军，含泪夺冠,2021-11-07 02:41:32,0,0
我想回家摸鱼了,edg牛逼,2021-11-07 02:41:32,0,0
徐--这里有斌,我们是 冠军,2021-11-07 02:41:30,0,0
我妈说名字太长会有沙雕跟着念,冠军🏆！！！！！,2021-11-07 02:41:27,0,0
低调吃瓜,激动的心颤抖的手,2021-11-07 02:41:28,0,0
广州消防,大家好，我是广州消防，我是过来蹭流量的，恭喜EDG冠军，希望大家刷屏之后记得这个月是消防安全宣传月，多多关注消防，爱你们,2021-11-07 02:41:28,6269,159
海的蓝色血液,是！！！！啊啊啊啊！！！！！佐伊！！求求了！选佐伊！！！没理由不选佐伊！！！,2021-11-07 02:41:26,0,0
今晚與妳相見,牛逼牛逼牛逼！！！,2021-11-07 02:41:27,0,0
金剛號c,edgnb！！！！,2021-11-07 02:41:26,0,0
雒小姐的空白,悄悄在这里艾特你，因为有几句废话想说给你，又能将这小心思隐藏在人海。我看了天气，你那里也突然降温了，冷了就要穿秋裤啊，你那么瘦，就算一次性穿20条加绒打底裤，你也是整条街道最靓的仔。@利维老斯,2021-11-07 02:41:25,0,0
惊尘丷,EDG！！！！！！！,2021-11-07 02:41:24,0,0
就只喜欢王一博,恭喜EDG！！！,2021-11-07 02:41:24,0,0
可乐不知所措,牛逼,2021-11-07 02:41:23,0,0
upier7,臭宝，等你们这句话等了太久了,2021-11-07 02:41:21,0,0
小晏爱吃圣女果,大概是第一次虽然凌晨了被微信震醒也没有觉得很生气，EDG真的赢了 一个星期七，第七年，终于披上了荣光，摘的了桂冠。也许没想到但确实就是赢了 中国人大概总是有这样的血性 那一种不放弃不趋向于精神和身体的自由奔放，那一种会让生命的短暂在宇宙的浩瀚里发光的信念,2021-11-07 02:41:20,0,0
不许生气气,恭喜！！恭喜,2021-11-07 02:41:19,0,0
山中有城-,恭喜！,2021-11-07 02:41:19,0,0
雨下一整晚08495,Nb,2021-11-07 02:41:18,0,0
你说会陪我去看海6,我预感真准 要相信奇迹一定会发生.,2021-11-07 02:41:16,0,0
叶苏最爱,恭喜,2021-11-07 02:41:15,0,0
PYP的小煤气罐,牛逼！！！！！！！,2021-11-07 02:41:13,0,0
喜欢喝奶茶的小董,🐮🍺,2021-11-07 02:41:13,0,0
叔叔你真坏,6号的比赛拖到7号 根本没有机会,2021-11-07 02:41:12,0,0
泠音朝歌是鱼贩子,！牛啊！！！！！！！！,2021-11-07 02:41:10,0,0
与其说我想你了不如说我失去你了,我们是冠军！,2021-11-07 02:41:10,0,0
躲在别人看不见的地方,我们是冠军,2021-11-07 02:41:11,0,0
斯德哥尔摩crystal,我们是冠军！！！！,2021-11-07 02:41:11,0,0
果壳花,恭喜,2021-11-07 02:41:10,0,0
安司匹林,感叹号多了！！！！！！！！（七个）,2021-11-07 02:41:09,0,0
CHAI_ZI,@木子洋KWIN 哥  连夜回北京吧 我也跟你一起  我立的flag看你吃,2021-11-07 02:41:07,0,0
古德猫临,转发微博,2021-11-07 02:41:02,0,0
在吃宵夜我是狗,我就想知道，珠江一人一套房还算不算数,2021-11-07 02:41:02,0,0
MiManchi0930,干得漂亮,2021-11-07 02:40:59,0,0
丨鲁路修丨,恭喜edg！证明了自己不只是内战幻神,2021-11-07 02:40:59,0,0
给你一兔肘h,恭喜世界冠军！,2021-11-07 02:40:58,0,0
鲸鱼自画像,恭喜~,2021-11-07 02:40:58,0,0
菜电小淀粉,我们是冠军,2021-11-07 02:40:57,0,0
-shmilyu,转发微博,2021-11-07 02:40:57,0,0
苗疆小福叠,恭喜,2021-11-07 02:40:54,0,0
月映星河丶,第三局结束后，我真的感到有点点绝望，想着，这可是dwg kia，卫冕冠军。。。我们还能做到吗，可是第四局 第五局，每一次关键击杀 峡谷先锋 土龙魂 水龙魂 男爵 远古巨龙，我都忍不住一次次欢呼，在你们战胜三星进入决赛时，我躲在被窝里流下了眼泪，可是今天，我只有无尽的开心与欢喜，我们是冠军！,2021-11-07 02:40:54,1,0
初音mmm,你们是冠军！！！ 你们是世界冠军,2021-11-07 02:40:50,0,0
以梦喂马i-,恭喜！！！！！,2021-11-07 02:40:49,0,0
是大鱼妹妹啦,是世界冠军,2021-11-07 02:40:48,0,0
李小忠,恭喜你们夺冠，我这喊的，旁边大爷问我是台湾解放了吗？,2021-11-07 02:40:47,0,0
小弘历爱吃薯条,恭喜恭喜🎉,2021-11-07 02:40:47,0,0
黄奕恒201702,edg牛逼！,2021-11-07 02:40:46,0,0
美到我心坎里了,恭喜edg,2021-11-07 02:40:44,0,0
得不得123,恭喜冠军🏆,2021-11-07 02:40:44,0,0
七英里bboy呵呵,祝贺,2021-11-07 02:40:41,0,0
半颗心破碎85457,牛逼！,2021-11-07 02:40:40,0,0
Kira不想当毛老师,恭喜EDG牛逼！！！！,2021-11-07 02:40:41,0,0
1-88,恭喜EDG！！！！,2021-11-07 02:40:40,0,0
-柠檬牌的歆九-,EDG牛逼！！！！！,2021-11-07 02:40:40,0,0
我的鼻尖痣男孩,恭喜恭喜，大家真棒，好样的,2021-11-07 02:40:39,0,0
燚樱花的时速,恭喜,2021-11-07 02:40:39,0,0
魚孖魚孖,眼眶湿了,2021-11-07 02:40:39,0,0
愣头bu愣脑,我们是冠军！！！,2021-11-07 02:40:38,0,0
粥酒i,7的意志！,2021-11-07 02:40:38,0,0
李南北笨东西,恭喜EDG,2021-11-07 02:40:37,0,0
酸laugh_11,牛逼！！！,2021-11-07 02:40:37,0,0
TanXZhe,我们EDG是冠！军！啊啊啊！！！！！！！,2021-11-07 02:40:37,0,0
jk平安喜乐呀,恭喜,2021-11-07 02:40:36,0,0
Watermoon___,baba啊啊啊啊啊忍不住。再来一次，我们是冠军！,2021-11-07 02:40:36,0,0
滕文金,恭喜EDG，喜欢你们6年了,2021-11-07 02:40:36,0,0
就是宇辰呀,恭喜啊啊啊啊,2021-11-07 02:40:36,0,0
咸鱼提督想要投敌,我们是冠军！我们还是冠军！我们总是冠军！！,2021-11-07 02:40:35,0,0
akaMIX,恭喜你们,2021-11-07 02:40:33,0,0
TNT哦耶,世界冠军！,2021-11-07 02:40:32,0,0
惹了妳,我们是冠军！！！,2021-11-07 02:40:32,0,0
快到锅里去吧,恭喜ED，今年圆满了,2021-11-07 02:40:31,0,0
骑白马王子上天,啊啊啊啊恭喜啊！世界冠军！,2021-11-07 02:40:29,0,0
鲜柠丞汁,恭喜恭喜,2021-11-07 02:40:29,0,0
-无难,恭喜！,2021-11-07 02:40:26,0,0
意犹未尽ggg,EDG牛逼!!!!!!!!!!,2021-11-07 02:40:26,0,0
是sssshxoo呀,EDG冠军,2021-11-07 02:40:26,0,0
Chill日落,世界冠军啊！！,2021-11-07 02:40:26,0,0
派壹壹,牛逼！！！,2021-11-07 02:40:25,0,0
只是陌生的你,我！们！是！冠！！军！,2021-11-07 02:40:21,0,0
看了也记不住内容的人,我们是冠军！,2021-11-07 02:40:21,0,0
小佳爱逞强,EDG牛逼呜呜呜,2021-11-07 02:40:20,0,0
白色幽漠39116,冠军中的冠军,2021-11-07 02:40:19,0,0
西西大数据,干得不错,2021-11-07 02:40:19,0,0
傻兔牙牙乐,转发微博,2021-11-07 02:40:17,0,0
抹茶星冰乐_-_,恭喜EDG！！！！！！！,2021-11-07 02:40:15,0,0
忘拿包大曼,恭喜！！！！！！！！,2021-11-07 02:40:14,0,0
__Qgoddess,我们是冠军！！！,2021-11-07 02:40:15,0,0
书兰鱼,牛,2021-11-07 02:40:15,0,0
刘先森-lxy,恭喜咱们的冠军🏆EDG！777！央视排面了！,2021-11-07 02:40:13,0,0
之织今天早睡了吗,恭喜,2021-11-07 02:40:14,0,0
有毒的小卷毛,恭喜🎉🎉🎉🎉🎉,2021-11-07 02:40:13,0,0
久而深矣,恭喜,2021-11-07 02:40:13,0,0
许嘉安CC,冠军🏆,2021-11-07 02:40:10,0,0
阿陵_Sakura,EDG牛逼！！！！,2021-11-07 02:40:09,0,0
LilyOuO,我们是冠军！,2021-11-07 02:40:08,0,0
将匀up,EDG牛逼！我们是冠军！,2021-11-07 02:40:08,1,0
炒酸奶不是卷嘛,恭喜EDG,2021-11-07 02:40:07,0,0
付培原有个小梦想,edg牛逼！,2021-11-07 02:40:05,0,0
