commentor_name,comment_text,create_time,like_count,reply_number
Sweetness20,你们最帅！,2021-11-07 08:56:21,0,0
不见長安li,我们是冠军！！EDG牛逼！！等了六年了 不负热爱,2021-11-07 08:56:19,0,0
松树千年终是朽槿花一日自为荣,恭喜电宝,2021-11-07 08:56:19,0,0
Kiss_z26,EDG是最牛逼的！！！！我们赢了,2021-11-07 08:56:17,0,0
是小姑娘佩奇啊,EDG牛逼！！,2021-11-07 08:56:16,0,0
吃云朵的大恐龙,恭喜EDG,2021-11-07 08:56:12,0,0
菠萝塔可椰椰茶,恭喜！！！世界冠军！！！！,2021-11-07 08:56:11,0,0
紫云沫雪0912,恭喜,2021-11-07 08:56:11,0,0
梅溪湖老阿姨11,厉害！恭喜！,2021-11-07 08:56:11,0,0
i丘丘ya,中国人不骗中国人 EDG牛逼！！！,2021-11-07 08:56:10,0,0
一慧儿bobo,只可惜冠军们都不认识！！！,2021-11-07 08:56:09,0,0
先别团等人齐,啊啊啊啊啊啊牛逼,2021-11-07 08:56:08,0,0
是岁岁呢_,牛逼！,2021-11-07 08:56:06,0,0
是茶儿啊,恭喜恭喜,2021-11-07 08:56:05,0,0
weiky-,牛逼！,2021-11-07 08:56:03,0,0
手表推荐定製大师jasim,恭喜恭喜，7年老粉熬出头了，好好庆祝，你们就是世界第一强队，下一个七年，我继续与你同行,2021-11-07 08:56:02,0,0
谁也没有时光机器10,敢打的你们，贼棒！,2021-11-07 08:56:01,0,0
E疯的喵弧,恭喜恭喜🎉,2021-11-07 08:56:00,0,0
LZZSY412,恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,2021-11-07 08:55:59,0,0
咪兔ll_MeToo,哇我终于看到冠军EDG了,2021-11-07 08:55:57,0,0
天水月雾,7的意志，不可战胜,2021-11-07 08:55:57,0,0
大杯的加珍珠,你们是冠军   宝贝,2021-11-07 08:55:52,0,0
西瓜的美瞳店铺,在哪里看回放,2021-11-07 08:55:51,0,0
许长弓X,恭喜恭喜,2021-11-07 08:55:52,0,0
流光易逝527,恭喜EDG，继续加油,2021-11-07 08:55:48,1,0
MUSMKW,恭喜EDG！！！,2021-11-07 08:55:46,0,0
realpcyyyyy,棒呆了,2021-11-07 08:55:44,0,0
LingGlong,恭喜🎉,2021-11-07 08:55:42,0,0
10050805不时尚的木木,,2021-11-07 08:55:42,0,0
大草莓的大力士,EDG🐮逼！！,2021-11-07 08:55:41,0,0
干嘛额Yibo哥,恭喜🏆,2021-11-07 08:55:39,0,0
我不是李阿啊啊啊啊狗,圣枪哥选男枪皮肤啊啊啊！！！,2021-11-07 08:55:38,0,0
吐泡泡的鲤鱼王,冲,2021-11-07 08:55:38,0,0
向往光坂小镇,恭喜edg,2021-11-07 08:55:38,0,0
晨露宇花yu,恭喜恭喜希望以后的EDG也能够越来越好虽然不懂但是也很替你们开心,2021-11-07 08:55:37,0,0
南秋不是秋,是冠军啊！！！,2021-11-07 08:55:37,0,0
爱大摩托你怕了么,默默地送上祝福！好燃！你们是冠军！,2021-11-07 08:55:36,0,0
屁颠屁颠看农农,恭喜啊！,2021-11-07 08:55:36,0,0
OREO不给泡,🏆,2021-11-07 08:55:34,0,0
pu你有想我嘛,！,2021-11-07 08:55:32,0,0
小鹿私酿,恭喜EDG！是冠军！虽然我不懂游戏 但还是说牛逼！！,2021-11-07 08:55:30,0,0
维io,恭喜EDG,2021-11-07 08:55:29,0,0
超超超n,赶紧买房吧,2021-11-07 08:55:29,0,0
罐装小苹果,不得不说真的很厉害！你们是冠军！！！,2021-11-07 08:55:28,0,0
美式咖啡和全麦面包,赞赞赞,2021-11-07 08:55:27,0,0
小白贩卖心动,恭喜恭喜,2021-11-07 08:55:27,0,0
北斗阿七vkas27,我们是冠军,2021-11-07 08:55:26,0,0
养个海星,EDG牛逼。,2021-11-07 08:55:25,0,0
zz_小赵同学,EDG🐮🍺～电竞男孩儿很帅气～,2021-11-07 08:55:25,0,0
清欢如鲸梦,不破不立，恭喜EDG,2021-11-07 08:55:23,0,0
M朝气蓬勃马小乖,冠军，你好！,2021-11-07 08:55:23,0,0
那个玺,恭喜啊！！,2021-11-07 08:55:16,0,0
此中恋心不忘你,恭喜 EDG！૧(●´৺`●)૭,2021-11-07 08:55:15,1,0
春水春林初生初盛,恭喜🎉,2021-11-07 08:55:12,0,0
等待lsb的zyt,不破不立！我们是冠军！！！,2021-11-07 08:55:12,0,0
小凡住我家,牛！,2021-11-07 08:55:12,0,0
想和TFB看流星,恭喜恭喜,2021-11-07 08:55:10,0,0
啊哦小林,,2021-11-07 08:55:10,0,0
吃云朵的大恐龙,恭喜EDG,2021-11-07 08:55:09,0,0
Laohuaibiao-,77777777777777,2021-11-07 08:55:08,0,0
CWQ_L,恭喜EDG！,2021-11-07 08:55:05,0,0
v一步一步往上爬,双C位都是棒子算个啥,2021-11-07 08:55:05,0,0
隔壁热心姐姐,EDG ,2021-11-07 08:55:01,0,0
野地小玫瑰_1996,恭喜EDG,2021-11-07 08:55:01,0,0
小奈鱼,恭喜EDG恭喜恭喜恭喜恭喜🎉,2021-11-07 08:54:59,0,0
李焕坤y,恭喜EDG,2021-11-07 08:54:55,0,0
人中星三,恭喜EDG!,2021-11-07 08:54:52,0,0
这里是小易啊,EDG是世界冠军,2021-11-07 08:54:52,0,0
·山河故里_,恭喜！！,2021-11-07 08:54:51,0,0
罗婕女士是光,恭喜,2021-11-07 08:54:51,0,0
大白喵乃糖,牛逼!,2021-11-07 08:54:50,0,0
-古珩瑾,恭喜！！！！！,2021-11-07 08:54:49,0,0
凉城有只袋鼠熊,对对对，你们是冠军！！！🏆,2021-11-07 08:54:47,0,0
腿超长的柯基犬,虽然不玩游戏，但是依然看了比赛，感觉好燃！,2021-11-07 08:54:46,0,0
JustsoRegret,等了好久好久哦,2021-11-07 08:54:45,0,0
丶别怕_我是坏人,明凯你看到了吗，想你,2021-11-07 08:54:44,0,0
陪小俊升级打怪_,我！们！是！冠！军 ！,2021-11-07 08:54:44,0,0
_Prince0v0,EDG 可以 牛逼！！,2021-11-07 08:54:43,0,0
谁待鹤归,恭喜EDG！！我们是冠军🏆！！,2021-11-07 08:54:40,0,0
Graphic-designer_,牛逼！,2021-11-07 08:54:39,0,0
jio的人生记录手册,,2021-11-07 08:54:39,0,0
Dear二十,恭喜,2021-11-07 08:54:38,0,0
DL德霖,777777777777,2021-11-07 08:54:34,0,0
凉薄少年葬空城灬,虽然EDG夺冠了，虽然很开心，但现在的EDG再也不是以前的那个EDG了，莫名的失落,2021-11-07 08:54:34,0,0
做一只小太阳Sun,EDG牛逼激动死了 这就是青春啊！！！,2021-11-07 08:54:34,0,0
鸠32356,我们是冠军 edg牛逼,2021-11-07 08:54:33,0,0
雨点没那么与点,恭喜🎉,2021-11-07 08:54:29,0,0
会心疼鸽鸽酱,,2021-11-07 08:54:28,0,0
Jemima贺然_H,我们是冠军!恭喜EDG,2021-11-07 08:54:27,0,0
柚-阳,恭喜,2021-11-07 08:54:25,0,0
鸿欧巴a,你们是DK的父亲,2021-11-07 08:54:25,0,0
欧阳Jine,牛逼,2021-11-07 08:54:25,0,0
贝暁强,不鱼死网破                                                                         不鸿鶱凤立                                                                         恭喜Meiko值得                                                                   7777777 。,2021-11-07 08:54:24,0,0
LZR是最爱,恭喜edg！,2021-11-07 08:54:23,0,0
xy_宋,恭喜EDG～冠军！🏆,2021-11-07 08:54:20,0,0
Z-Harkin,恭喜恭喜鏖战五局夺冠！！！ LPL又一次拿到冠军。 PS:之前两次半决1:2的经验告诉我，时候睡觉了，第二天早上起来都是翻盘局；所以这次1:2DK的时候我毅然决定去睡觉了，看看我的毒奶是否又能应验，果然今天一早看热搜，真的应验了！逆转夺冠？！！！   晚点回顾第4、5局,2021-11-07 08:54:20,0,0
胖迪的迪迪,恭喜EDG！打得好！,2021-11-07 08:54:19,0,0
居家女孩的朱砂痣,恭喜！！,2021-11-07 08:54:19,0,0
blingbling珊大大,对！你们！是！世界！冠军！🏆 🏆🏆！,2021-11-07 08:54:18,0,0
IAJI_,转发微博,2021-11-07 08:54:17,0,0
嬉皮虾米,恭喜EDG,2021-11-07 08:54:17,1,0
心动狙击刘昊然,恭喜EDG,2021-11-07 08:54:15,0,0
琑宝宝宇宙无敌第一可爱,恭喜EDG牛逼！世界冠军,2021-11-07 08:54:15,0,0
西条美人,恭喜恭喜,2021-11-07 08:54:12,0,0
动漫女主斐,好耶好耶好耶,2021-11-07 08:54:09,0,0
嗷呜一口啵唧,电宝！！！,2021-11-07 08:54:09,0,0
_collinearity_,恭喜,2021-11-07 08:54:08,0,0
宇宙之尘yjw,恭喜恭喜恭喜恭喜恭喜恭喜,2021-11-07 08:54:06,0,0
半三生于,恭喜edg,2021-11-07 08:53:58,0,0
insane-温存,从S4喜欢EDG，失望了无数次，终于圆梦了，加油！再创辉煌！,2021-11-07 08:53:57,0,0
楠妖妖530,太爱了,2021-11-07 08:53:58,0,0
荷兰弟1999,恭喜,2021-11-07 08:53:55,0,0
小萝卜拔白兔T,恭喜EDG,2021-11-07 08:53:53,0,0
海云天tf,"恭喜EDG,冠军皮肤的钱已准备好，全买。",2021-11-07 08:53:51,1,0
