mid,sex,vip
678401338,男,1
272377469,女,0
36758310,男,1
1277051855,保密,1
514358218,女,0
394906350,男,0
523637998,保密,1
433381303,保密,0
482089090,保密,0
285394632,男,0
1178005020,保密,1
366439135,男,0
358099507,男,1
1626535059,保密,0
349236582,男,1
346146583,男,1
740638,男,1
444057262,女,1
2041662460,男,0
94510621,保密,1
351782240,保密,1
601653465,保密,1
14490331,女,0
25680633,女,0
39997124,男,1
545479296,保密,0
14829832,保密,1
384862932,保密,1
621466374,男,0
23013747,男,0
526412017,保密,0
164180690,保密,1
298462669,男,0
360606086,男,0
509908218,男,0
521214014,男,1
439763318,男,0
385170154,保密,0
417371834,保密,0
282235477,保密,0
454936889,男,0
454936889,男,0
24385677,保密,0
2071084114,保密,0
442032235,保密,0
399620878,男,1
383244424,保密,0
1348679457,保密,0
22956108,保密,0
111253064,男,0
27190817,保密,0
487359819,保密,1
424370452,男,1
1460347999,保密,0
23090050,女,0
489387131,保密,0
479939474,保密,1
88194250,男,0
671702687,保密,1
434607553,保密,0
235674911,保密,1
96949730,保密,0
1698247466,保密,0
518676131,男,0
456568787,保密,1
547420254,保密,0
351139360,保密,0
2121409882,男,0
693715170,男,1
1526218810,男,1
72255705,保密,0
504347335,女,0
1901882884,保密,0
1725938080,女,1
480250866,保密,1
1251101042,保密,0
652330861,男,1
400343765,男,1
432977587,保密,1
432977587,保密,1
562933243,男,0
22508487,男,1
508267465,保密,0
617440971,保密,0
418118007,男,1
351193800,保密,1
442732009,男,0
1895498048,保密,0
11630321,男,1
389367580,女,1
13937728,保密,1
448187630,保密,0
1194881582,保密,0
202042642,男,1
18670396,保密,1
519039975,保密,0
371777588,男,0
489084151,保密,0
2053759812,女,1
202042642,男,1
488464223,保密,1
311686356,女,1
287173468,保密,1
513466046,保密,0
507342384,保密,0
26245435,男,0
1340313160,保密,1
430281028,男,1
300705839,保密,1
1264017589,保密,1
621908764,保密,0
510299168,男,0
4434397,保密,0
1350016497,保密,0
1931805140,保密,0
15424795,女,0
391579126,女,0
628499561,男,0
385612940,男,1
86692060,保密,0
454936889,男,0
238262530,保密,1
649879855,保密,1
30992229,女,0
483165504,男,0
34889694,保密,0
1316037212,保密,0
36985307,男,1
311686356,女,1
28876217,保密,0
382038989,男,0
199316743,男,0
319898795,男,0
311686356,女,1
30728807,男,1
352149148,保密,1
434244306,男,0
199505881,男,1
172308850,男,1
1956070595,保密,1
270499770,保密,0
111165236,保密,0
511530112,保密,0
24894955,女,0
25563819,保密,1
1461888282,男,0
433653306,保密,0
345169131,保密,0
244736899,保密,1
161909908,保密,0
1516270257,保密,0
1738570670,保密,0
487067564,女,0
520306276,保密,0
30266438,女,0
39209546,保密,1
85685907,男,0
281332609,男,1
172406044,保密,0
106293223,男,1
32943788,男,0
113615638,女,1
27975620,男,1
1523607486,保密,0
511985238,保密,1
1361013302,男,0
1386566521,保密,0
1766426416,保密,0
1911098323,保密,0
1593625,保密,0
405844775,保密,1
534942981,男,1
457305134,男,0
1441924414,男,0
4285369,保密,1
313990634,男,0
671283706,保密,0
500060067,男,0
269989997,保密,1
19974034,保密,0
509640660,男,1
2136518830,男,0
1976509097,男,0
40004652,男,1
456286298,女,0
81435522,男,0
497627194,保密,1
1363184953,保密,0
1258239159,保密,0
1223258970,保密,0
1304525059,男,0
513457806,女,0
1272395263,保密,0
508086322,保密,0
537919880,保密,0
435734027,男,1
349746324,保密,0
494013432,男,0
1502686110,保密,0
1393448103,保密,0
391569916,男,1
540345125,保密,0
21881973,保密,1
1030867035,保密,0
362826905,男,0
