mid,sex,vip
509437073,保密,1
503150178,保密,1
165849441,男,1
1200487059,保密,0
629027442,保密,0
437783763,保密,0
385206737,保密,1
253387722,保密,0
385640038,保密,1
293150507,保密,0
2128715890,保密,1
39658107,男,1
88792322,保密,1
168696817,保密,1
431550934,保密,1
31472026,保密,0
1798174041,保密,0
422476896,保密,0
114510622,保密,0
287000126,保密,0
448052425,保密,0
380845234,保密,1
481503023,保密,0
487081090,女,0
105791200,保密,0
320171990,保密,0
52514011,男,0
1193196011,保密,0
687127317,保密,0
260230899,女,0
13993905,男,1
397312365,保密,1
403010898,女,1
362745185,保密,0
296923935,保密,0
455723019,女,0
397394963,保密,1
674756142,女,0
1131514097,男,1
484841573,保密,0
281133494,保密,1
454936889,男,0
2136761930,保密,0
24469139,保密,1
65362010,保密,0
502245991,男,0
43979278,保密,0
15630733,女,1
179137864,男,0
497322922,保密,0
322306981,男,0
322695527,保密,0
1411446876,保密,0
413358097,男,1
95893635,保密,1
177191727,女,1
19162211,女,0
13003144,保密,1
493877567,女,0
1631906184,保密,0
209634851,保密,0
43913967,男,1
357660387,女,0
588508026,保密,0
358059799,女,1
273114088,保密,0
233682278,女,1
346189570,女,0
104357,保密,0
19144094,保密,0
387592480,保密,1
47770241,女,1
27698117,男,0
1883163024,保密,0
1676532148,保密,0
396166366,女,0
430633602,保密,0
13731418,保密,1
495207879,保密,1
390504571,女,0
1247033248,女,0
1831011595,保密,0
342626249,男,0
553709680,女,1
258774076,保密,1
254620044,保密,1
1516917226,保密,0
1957213931,保密,0
1712378203,男,1
1461800932,女,0
351592231,男,0
502441568,保密,0
2016896587,保密,1
627359134,保密,0
596775080,男,0
1077786648,保密,0
411581814,男,0
29730424,保密,1
24324853,保密,1
17457533,女,0
399247034,女,1
85664698,保密,0
2995163,保密,1
34107558,女,1
37905101,保密,0
501153402,保密,0
226415377,女,0
12587819,男,1
507968274,女,0
27698117,男,0
492628099,女,0
17047278,保密,1
1441783572,女,1
289992986,保密,1
1133331971,保密,1
288724812,女,1
650052566,保密,0
68979067,保密,1
350032707,男,1
288959802,男,1
1299725711,女,0
1536917278,女,0
